gene,SRR3477442,SRR3477444,SRR3477449,SRR3477466,SRR3477471,SRR3477443,SRR3477445,SRR3477450,SRR3477458,SRR3477461,SRR3477465,SRR3477467,SRR3477469,SRR3502718,SRR3477446,SRR3477448,SRR3477451,SRR3477459,SRR3477462,SRR3477468
A1BG,3152,3291,2842,4085,3110,3892,4880,3909,281,3295,329,4176,48,77,3240,388,5495,466,4683,3312
A2M,15229,15247,13636,8237,15217,17896,18535,16786,34730,17048,53947,10311,21513,14820,14655,46425,12020,41319,15223,12468
A2MP1,7,21,27,8,16,11,12,12,5,12,1,0,11,2,11,26,6,7,22,23
NAT1,4572,4512,3916,1543,4188,4733,5517,4180,0,5088,117,2264,76,45,3679,95,3158,131,4683,3866
NAT2,4049,3786,3410,2001,3667,4297,4743,3567,0,3924,0,2786,14,27,3511,13,2271,9,3483,3155
SERPINA3,5548,5594,4631,6242,5831,6333,6417,5702,37674,5923,156899,4855,47264,18449,5113,24302,4572,16288,5108,4371
AADAC,3746,3911,3314,1172,3634,2966,4805,4168,2,4208,1,2238,1,0,3174,0,2652,0,3658,3100
AAMP,8532,8392,7403,10883,8595,10357,9206,10637,2078,4565,2547,9263,1303,1385,9138,2202,9075,2899,4835,6590
AANAT,3122,3478,2778,4252,3232,3891,3499,3465,34,2011,24,3032,34,33,3211,64,4011,31,2102,2537
AARS1,13087,13508,11177,15271,13257,15525,15621,14688,4946,8702,4321,13388,3491,4907,12688,7564,13922,7179,7512,11338
ABAT,6517,6644,5588,7553,6792,7840,8043,7236,10349,4744,7646,5948,6670,3788,6427,3802,6081,7598,4033,5377
ABCA1,23904,24579,20845,21437,24247,28139,26994,27137,0,21354,20100,20354,11558,12756,22448,12706,20076,46143,18414,19349
ABCA2,24718,25221,21017,33326,24183,29438,26016,26136,0,18801,4329,25685,3322,3240,26796,95892,34606,3880,18636,18568
ABCA3,14273,14333,12395,18050,13904,16478,15774,14676,4687,14173,4164,13762,3042,1451,13665,4289,15222,3403,12999,10358
ABCB7,5392,5269,10101,1696,10341,6806,7023,12070,0,5036,1074,3231,694,774,5220,898,7153,0,4487,4636
ABCF1,13217,12891,10787,14291,12718,13393,14694,13232,0,11267,2523,12274,1275,1575,11717,1825,12419,4002,10113,10091
ABCF1,13217,12891,10787,14291,12718,13393,14694,13232,0,11267,2523,12274,1275,1575,11717,1825,12419,4002,10113,10091
ABCF1,13217,12891,10787,14291,12718,13393,14694,13232,0,11267,2523,12274,1275,1575,11717,1825,12419,4002,10113,10091
ABCF1,13217,12891,10787,14291,12718,13393,14694,13232,0,11267,2523,12274,1275,1575,11717,1825,12419,4002,10113,10091
ABCF1,13217,12891,10787,14291,12718,13393,14694,13232,0,11267,2523,12274,1275,1575,11717,1825,12419,4002,10113,10091
ABCF1,13217,12891,10787,14291,12718,13393,14694,13232,0,11267,2523,12274,1275,1575,11717,1825,12419,4002,10113,10091
ABCF1,13217,12891,10787,14291,12718,13393,14694,13232,0,11267,2523,12274,1275,1575,11717,1825,12419,4002,10113,10091
ABCA4,25198,25735,21520,23044,25288,30002,30068,27015,8,23432,51,16393,22,13,23476,35,21315,16,21303,12458
