"","ENTREZID","SYMBOL","ENSEMBL","SRR7251660","SRR7251661","SRR7251662","SRR7251664","SRR7251665","SRR7251667","SRR7251668","SRR7251670"
"1","1","A1BG","ENSG00000121410",14,32,9,2,13,0,3,0
"6766","2","A2M","ENSG00000175899",29,445,283,24,386,13,117,4
"10887","3","A2MP1","ENSG00000256069",0,36,20,1,45,0,10,0
"25056","9","NAT1","ENSG00000171428",12,3,2,3,10,2,2,1
"2","10","NAT2","ENSG00000156006",10,0,0,0,0,0,0,0
"4145","12","SERPINA3","ENSG00000196136",1,0,0,0,0,0,0,0
"4649","13","AADAC","ENSG00000114771",0,0,2,0,0,0,0,0
"5028","14","AAMP","ENSG00000127837",17,44,49,26,65,5,4,1
"5586","15","AANAT","ENSG00000129673",0,2,3,0,6,0,3,0
"6030","16","AARS1","ENSG00000090861",9,67,46,5,114,0,20,0
"6505","18","ABAT","ENSG00000183044",39,107,71,7,65,0,5,1
"6589","19","ABCA1","ENSG00000165029",39,49,120,43,158,29,109,19
"6767","20","ABCA2","ENSG00000107331",70,143,291,45,244,10,45,6
"7046","21","ABCA3","ENSG00000167972",9,43,35,4,42,0,2,0
"7221","22","ABCB7","ENSG00000131269",2,58,49,12,85,1,43,0
"7661","23","ABCF1","ENSG00000204574",0,0,0,0,0,0,0,0
"7662","23","ABCF1","ENSG00000236149",0,0,0,0,0,0,0,0
"7663","23","ABCF1","ENSG00000225989",0,0,0,0,0,0,0,0
"7664","23","ABCF1","ENSG00000232169",0,0,0,0,0,0,0,0
"7665","23","ABCF1","ENSG00000236342",0,0,0,0,0,0,0,0
"7666","23","ABCF1","ENSG00000206490",0,0,0,0,0,0,0,0
"7667","23","ABCF1","ENSG00000231129",0,0,0,0,0,0,0,0
"8308","24","ABCA4","ENSG00000198691",7,0,0,2,0,0,0,0
"8400","25","ABL1","ENSG00000097007",14,89,99,28,139,8,42,7
"8956","26","AOC1","ENSG00000002726",0,0,0,0,0,0,0,0
"9479","27","ABL2","ENSG00000143322",33,116,82,18,203,10,53,7
"9770","28","ABO","ENSG00000175164",0,0,0,0,0,0,0,0
"9771","28","ABO","ENSG00000281879",0,0,0,0,0,0,0,0
"10585","29","ABR","ENSG00000159842",50,208,325,63,472,17,74,8
